Геометрическая высота;Геопотенциальная высота;Температура;Температура;Давление;Давление;Плотность;Ускорение свободного падения
h, м;H, м;Т,К;t°,С;p, Па;p, мм рт.ст.;ρ, кг/м³;g, м/с²
0;0;288,15;15;1,01E+05;7,60E+02;1,225;9,807
500;500;284,9;11,75;9,55E+04;7,16E+02;1,16727;9,805
1000;1000;281,651;8,501;8,99E+04;6,74E+02;1,11166;9,804
2000;2000;275,154;2,004;7,95E+04;5,96E+02;1,00655;9,801
3000;2999;268,659;-4,491;7,01E+04;5,26E+02;9,09E-01;9,797
4000;3997;262,166;-10,984;6,17E+04;4,62E+02;8,19E-01;9,794
5000;4996;255,676;-17,474;5,40E+04;4,05E+02;7,36E-01;9,791
6000;5994;249,187;-23,963;4,72E+04;3,54E+02;6,60E-01;9,788
7000;6992;242,7;-30,45;4,11E+04;3,08E+02;5,90E-01;9,785
8000;7990;236,215;-36,935;3,57E+04;2,67E+02;5,27E-01;9,782
9000;8987;229,733;-43,417;3,08E+04;2,31E+02;4,67E-01;9,779
10000;9984;223,252;-49,898;2,65E+04;1,99E+02;4,14E-01;9,776
11000;10981;216,774;-56,376;2,27E+04;1,70E+02;3,65E-01;9,773
12000;11977;216,65;-56,5;1,94E+04;1,46E+02;3,12E-01;9,77
13000;12973;216,65;-56,5;1,66E+04;1,24E+02;2,67E-01;9,767
14000;13969;216,65;-56,5;1,42E+04;1,06E+02;2,28E-01;9,764
15000;14965;216,65;-56,5;1,21E+04;9,08E+01;1,95E-01;9,761
16000;15960;216,65;-56,5;1,04E+04;7,77E+01;1,66E-01;9,758
17000;16955;216,65;-56,5;8,85E+03;6,64E+01;1,42E-01;9,754
18000;17949;216,65;-56,5;7,57E+03;5,67E+01;1,22E-01;9,751
19000;18943;216,65;-56,5;6,47E+03;4,85E+01;1,04E-01;9,748
20000;19937;216,65;-56,5;5,53E+03;4,15E+01;8,89E-02;9,745
