h, м;р/рС;ρ/ρС;sqrt(ρ/ρС);а, М/С;µ, Пас;ν, м²/с;λ, Вт/(м*К)
0;1,00000;1,00000;1,00000;340,294;1,7894E-5;1,4607E-5;2,5343E-2
500;9,42130E-1;9,52876E-1;9,76154E-1;338,37;1,7737E-5;1,5195E-5;2,5087E-2
1000;8,87010E-1;9,07477E-1;9,52616E-1;336,435;1,7579E-5;1,5813E-5;2,4830E-2
2000;7,84618E-1;8,21676E-1;9,06464E-1;332,532;1,7260E-5;1,7147E-5;2,4314E-2
3000;6,92042E-1;7,42248E-1;8,61538E-1;328,584;1,6938E-5;1,8628E-5;2,3795E-2
4000;6,08541E-1;6,68854E-1;8,17835E-1;324,589;1,6612E-5;2,0275E-5;2,3273E-2
5000;5,33415E-1;6,01166E-1;7,75349E-1;320,545;1,6282E-5;2,2110E-5;2,2747E-2
6000;4,66002E-1;5,38866E-1;7,34075E-1;316,452;1,5949E-5;2,4162E-5;2,2218E-2
7000;4,05677E-1;4,81648E-1;6,94008E-1;312,306;1,5612E-5;2,6461E-5;2,1687E-2
8000;3,51854E-1;4,29213E-1;6,55144E-1;308,105;1,5271E-5;2,9044E-5;2,1152E-2
9000;3,03979E-1;3,81276E-1;6,17475E-1;303,848;1,4926E-5;3,1957E-5;2,0614E-2
10000;2,61533E-1;3,37559E-1;5,80999E-1;299,532;1,4577E-5;3,5251E-5;2,0072E-2
11000;2,24031E-1;2,97797E-1;5,45708E-1;295,154;1,4223E-5;3,8988E-5;1,9528E-2
12000;1,91457E-1;2,54643E-1;5,04621E-1;295,069;1,4216E-5;4,5574E-5;1,9518E-2
13000;1,63628E-1;2,17629E-1;4,65507E-1;295,069;1,4216E-5;5,3325E-5;1,9518E-2
14000;1,39850E-1;1,86004E-1;4,31282E-1;295,069;1,4216E-5;6,2391E-5;1,9518E-2
15000;1,19534E-1;1,58983E-1;3,98727E-1;295,069;1,4216E-5;7,2995E-5;1,9518E-2
16000;1,02174E-1;1,35894E-1;3,68638E-1;295,069;1,4216E-5;8,5397E-5;1,9518E-2
